Nom,Ile,Categorie,Latitude,Longitude,Lumiere idéale,Remarques
Emporios antique,Chios,Archeologie,38.2150,25.9770,Matin,"Mer + ruines"
Kastro de Chios,Chios,Archeologie,38.3700,26.1370,Matin,"Textures, ruelles"
Mesta,Chios,Archeologie,38.2370,25.9710,Matin,"Architecture médiévale"
Pyrgi,Chios,Archeologie,38.2330,25.9880,Matin,"Façades graphiques"
Nea Moni,Chios,Eglise,38.3420,26.0870,Matin,"Mosaïques, silence"
Agioi Apostoloi (Pyrgi),Chios,Eglise,38.2300,25.9890,Matin,"Église byzantine pure"
Panagia Krina,Chios,Eglise,38.3050,26.0990,Matin,"Très peu fréquentée"
Agia Dynami,Chios,Chapelle,38.1750,26.0200,Soir,"Isolement total"
Chapelle Mavra Volia,Chios,Chapelle,38.2160,25.9770,Matin,"Contraste volcanique"
Chapelle vallée Nea Moni,Chios,Chapelle,38.3300,26.0800,Matin,"Cyprès, calme"
