Nom,Ile,Categorie,Latitude,Longitude,Lumiere idéale,Remarques
Heraion de Samos,Samos,Archeologie,37.6540,26.8850,Matin,"Colonnes, site très ouvert"
Tunnel d’Eupalinos (entrée nord),Samos,Archeologie,37.6710,26.8860,Matin,"Visite guidée recommandée"
Pythagorion – site antique,Samos,Archeologie,37.6910,26.9440,Matin,"Mer calme tôt"
Thermes romains de Pythagorion,Samos,Archeologie,37.6880,26.9460,Fin d’après-midi,"Pierres chaudes, ombres"
Neoria antiques,Samos,Archeologie,37.6870,26.9420,Soir,"Reflets portuaires"
Panagia Spiliani,Samos,Eglise,37.6915,26.9445,Soir,"Vue mer exceptionnelle"
Monastère Timios Stavros,Samos,Eglise,37.7300,26.7200,Matin,"Lumière douce montagnes"
Agios Nikolaos Kokkari,Samos,Eglise,37.7830,26.8510,Matin,"Vie locale"
Chapelle Tsamadou,Samos,Chapelle,37.7540,26.9120,Matin,"Mer turquoise, peu de monde"
Chapelle Velanidia,Samos,Chapelle,37.6180,26.8040,Soir,"Ambiance sauvage"
Chapelle haute de Kokkari,Samos,Chapelle,37.7850,26.8450,Soir,"Vue panoramique"
