Nom,Ile,Categorie,Latitude,Longitude,Lumiere idéale,Remarques
Heraion de Samos,Samos,Archeologie,37.6540,26.8850,Matin,"Colonnes, site très ouvert"
Tunnel d’Eupalinos (entrée nord),Samos,Archeologie,37.6710,26.8860,Matin,"Visite guidée recommandée"
Pythagorion – site antique,Samos,Archeologie,37.6910,26.9440,Matin,"Mer calme tôt"
Thermes romains de Pythagorion,Samos,Archeologie,37.6880,26.9460,Fin d’après-midi,"Pierres chaudes, ombres"
Neoria antiques,Samos,Archeologie,37.6870,26.9420,Soir,"Reflets portuaires"
Ruines antiques de Vathi,Samos,Archeologie,37.7610,26.9890,Matin,"Petits vestiges, végétation"
Panagia Spiliani,Samos,Eglise,37.6915,26.9445,Soir,"Vue mer exceptionnelle"
Monastère Timios Stavros,Samos,Eglise,37.7300,26.7200,Matin,"Lumière douce montagnes"
Agios Nikolaos Kokkari,Samos,Eglise,37.7830,26.8510,Matin,"Vie locale"
Église de Pagondas,Samos,Eglise,37.6750,26.7800,Matin,"Rurale, calme"
Chapelle Tsamadou,Samos,Chapelle,37.7540,26.9120,Matin,"Mer turquoise, peu de monde"
Chapelle Velanidia,Samos,Chapelle,37.6180,26.8040,Soir,"Ambiance sauvage"
Chapelle haute de Kokkari,Samos,Chapelle,37.7850,26.8450,Soir,"Vue panoramique"
Chapelles de Tsambou,Samos,Chapelle,37.7660,26.9050,Matin,"Côte sauvage"
Chapelle rurale centrale (sans nom),Samos,Chapelle,37.6900,26.8300,Matin,"Intérieure, calme"
Chapelle Panagia Faneromeni,Samos,Chapelle,37.7420,26.9000,Soir,"Vue sur mer et village"
Chapelle Agios Spyridon,Samos,Chapelle,37.7800,26.8700,Matin,"Isolement, belle perspective"
Chapelle Agia Paraskevi (Kokkari),Samos,Chapelle,37.7880,26.8450,Soir,"Bord de mer, peu fréquentée"
Monastère Zoodochos Pigi,Samos,Eglise,37.6950,26.8200,Matin,"Fresques intérieures, calme"
Chapelle Agios Ioannis (Tsambou),Samos,Chapelle,37.7670,26.9100,Matin,"Vue sur la plage et falaises"
Chapelle Agios Nikolaos (Marathokampos),Samos,Chapelle,37.6110,26.7580,Soir,"Isolée, mer et montagne"
Chapelle Panagia tou Vounou,Samos,Chapelle,37.6750,26.8400,Soir,"Vue panoramique sur vallée et mer"
Chapelle Agia Marina (Kokkari),Samos,Chapelle,37.7820,26.8500,Matin,"Bord de mer, lumière douce"
Chapelle Agios Nikolaos (Karlovasi),Samos,Chapelle,37.7800,26.7900,Matin,"Côte nord, peu de monde"
Chapelle Agios Georgios (Psili Ammos),Samos,Chapelle,37.6700,26.9000,Soir,"Plage + ruines, panorama"
